CustomerID,Gender,tenure,MonthlyCharges,TotalCharges,TechSupport_Yes,OnlineBackup_Yes,StreamingTV_Yes,Contract_OneYear,Contract_TwoYear,Payment_Electronic,Payment_CreditCard,InternetService_Fiber,Churn
1095-WGNGG,Male,29,62,1798,1,0,0,0,0,1,0,0,0
2636-SJDOU,Female,49,117,5733,0,1,1,0,0,1,0,0,0
1131-QQZEB,Male,37,41,1517,0,1,1,0,1,1,0,0,1
5716-EZXZN,Male,37,33,1221,1,1,0,0,1,0,0,1,0
6837-BJYDQ,Female,72,90,6480,1,0,1,0,1,1,0,0,1
2135-RXIHG,Male,31,107,3317,0,0,1,0,1,1,0,1,1
6440-DKQGE,Female,65,120,7800,0,0,1,0,1,1,0,0,0
3466-BYAVD,Male,17,79,1343,1,1,0,1,0,1,0,1,0
3780-YVMFA,Male,52,114,5928,1,0,1,0,1,0,1,1,1
3874-EQOEP,Male,65,39,2535,1,1,0,1,0,0,1,1,1
1679-JRFBR,Male,58,25,1450,1,1,1,0,0,0,0,1,1
9073-ZZIAY,Female,59,92,5428,1,1,0,0,1,1,0,0,0
3077-RSNTJ,Female,13,99,1287,0,0,1,0,0,1,0,1,0
6551-GNYDG,Male,6,105,630,0,1,0,1,0,0,0,1,0
9167-APMXZ,Male,13,33,429,0,1,0,1,0,0,1,1,0
2749-CTKAJ,Female,72,71,5112,0,1,0,1,0,1,0,1,1
6371-NZYEG,Female,36,62,2232,1,0,0,0,1,0,1,0,0
7554-NEWDD,Male,58,116,6728,1,0,0,1,0,0,1,1,0
8992-VONJD,Male,15,30,450,1,1,1,1,0,1,0,1,0
0867-MKZVY,Male,16,51,816,0,0,1,1,0,1,0,1,1
4482-EWFMI,Male,41,83,3403,0,1,1,1,0,0,0,0,1
4648-YPBTM,Female,50,22,1100,0,1,0,1,0,0,1,0,1
2907-ILJBN,Male,58,55,3190,0,0,0,1,0,1,0,0,0
6345-FZOQH,Male,13,70,910,0,0,0,1,0,0,0,0,0
3376-BMGFE,Male,59,79,4661,1,0,1,0,0,0,1,1,0
5997-OPVFA,Male,38,114,4332,1,1,1,1,0,1,0,0,1
3445-HXXGF,Male,60,64,3840,0,1,1,1,0,1,0,1,1
1159-WFSGR,Male,18,44,792,0,1,0,1,0,1,0,1,0
7654-YWJUF,Female,48,88,4224,1,0,1,1,0,1,0,1,0
1875-QIVME,Male,19,113,2147,1,1,0,1,0,0,1,0,0
6727-IOTLZ,Female,31,37,1147,0,0,0,0,1,1,0,0,1
0691-JVSYA,Male,31,30,930,1,0,1,0,1,1,0,0,1
5918-VUKWP,Male,44,98,4312,0,1,0,0,1,0,0,0,0
1744-JHKYS,Female,67,87,5829,0,1,0,1,0,1,0,0,0
2656-FMOKZ,Male,4,45,180,1,1,0,1,0,0,1,1,0
2070-FNEXE,Male,68,52,3536,0,1,0,1,0,0,1,0,1
5947-SGKCL,Female,55,30,1650,0,0,0,1,0,0,1,0,0
3712-PKXZA,Female,59,67,3953,1,0,1,1,0,1,0,0,1
6317-YPKDH,Male,10,50,500,0,0,0,1,0,1,0,1,0
6582-OIVSP,Female,60,81,4860,0,1,0,0,1,1,0,1,1
9367-WXLCH,Female,44,117,5148,0,0,1,1,0,0,0,0,0
5524-KHNJP,Female,61,30,1830,1,0,1,1,0,1,0,1,1
1918-ZBFQJ,Male,26,73,1898,0,1,0,1,0,1,0,0,0
1024-GUALD,Male,48,50,2400,1,1,0,1,0,0,1,1,1
4827-USJHP,Male,49,76,3724,0,0,0,0,1,1,0,0,1
8167-GJLRN,Female,49,64,3136,1,1,1,0,0,1,0,1,1
0956-SYCWG,Female,71,98,6958,1,0,0,1,0,0,1,0,0
8017-UVSZU,Male,51,48,2448,0,1,0,1,0,1,0,0,1
7100-FQPRV,Male,57,46,2622,0,1,0,1,0,1,0,0,0
2472-OVKUP,Female,30,20,600,0,1,0,1,0,1,0,1,1
2984-RGEYA,Female,24,37,888,1,0,0,0,1,1,0,0,1
9680-NIAUV,Male,60,109,6540,0,0,0,0,0,0,1,0,0
2146-EGVDT,Female,59,107,6313,1,0,0,0,1,0,1,0,1
2604-IJPDU,Male,42,41,1722,0,0,0,1,0,1,0,1,1
9178-JHUVJ,Female,64,88,5632,1,1,1,1,0,0,1,0,1
6168-YBYNP,Male,47,51,2397,1,0,0,0,1,1,0,0,1
7255-SSFBC,Male,62,21,1302,1,1,0,1,0,0,1,0,0
3645-DEYGF,Female,41,24,984,0,1,1,0,0,0,1,1,1
9323-HGFWY,Male,6,74,444,1,1,0,0,1,1,0,0,0
8544-GOQSH,Female,64,34,2176,1,1,1,0,0,0,1,0,0
3363-DTIVD,Female,40,45,1800,0,0,1,1,0,1,0,0,1
7018-WBJNK,Female,36,89,3204,1,1,0,1,0,0,1,1,0
9142-KZXOP,Male,56,109,6104,1,1,1,1,0,1,0,0,1
7674-YTAFD,Male,2,69,138,0,1,1,0,0,1,0,0,0
6348-SNFUS,Female,67,47,3149,1,0,1,0,0,1,0,0,1
1285-OKIPP,Female,68,33,2244,0,1,1,1,0,1,0,1,0
7825-ECJRF,Male,19,52,988,1,1,0,0,1,0,1,1,0
1347-KTTTA,Female,52,42,2184,0,1,1,1,0,1,0,1,1
7841-TZDMQ,Female,18,49,882,1,0,0,0,1,0,0,1,0
4195-NZGTA,Male,61,114,6954,1,1,1,0,1,0,0,0,1
7157-SMCFK,Female,13,107,1391,1,0,0,0,1,1,0,0,1
4709-LKHYG,Female,45,39,1755,0,0,1,1,0,1,0,1,0
2504-DSHIH,Female,70,111,7770,0,0,1,1,0,0,0,0,1
0699-NDKJM,Male,18,33,594,0,0,0,1,0,1,0,1,1
9286-BHDQG,Female,58,72,4176,1,1,0,0,0,0,1,1,1
0230-WEQUW,Male,9,44,396,0,1,0,0,1,0,1,1,1
2040-LDIWQ,Male,5,62,310,1,0,0,0,0,1,0,0,0
6496-JDSSB,Male,54,111,5994,1,1,1,0,1,1,0,1,0
9408-SSNVZ,Female,6,116,696,1,0,1,1,0,1,0,1,1
4443-EMBNA,Female,11,85,935,0,1,0,0,1,0,0,0,1
6469-MRVET,Female,69,71,4899,0,0,1,0,1,1,0,1,0
0742-MOABM,Male,50,107,5350,1,1,0,0,1,0,1,0,0
5961-VUSRV,Male,46,98,4508,0,0,0,0,1,1,0,1,0
6778-JFCMK,Female,53,111,5883,0,0,0,0,0,1,0,0,1
6341-JVQGF,Female,44,88,3872,1,0,1,1,0,0,1,1,1
2232-DMLXU,Female,48,49,2352,0,1,0,1,0,0,1,1,1
4811-JBUVU,Male,45,79,3555,0,1,0,1,0,0,0,1,0
0945-TSONX,Female,50,53,2650,1,0,1,0,1,1,0,0,1
2651-ZCBXV,Female,59,69,4071,0,0,1,0,0,0,0,0,0
3316-UWXUY,Male,66,81,5346,1,0,1,1,0,0,1,0,1
8937-RDTHP,Male,51,47,2397,1,1,1,0,1,0,0,0,1
7083-MIOPC,Male,66,56,3696,1,1,1,1,0,1,0,0,0
1984-GPTEH,Male,8,42,336,0,0,0,1,0,1,0,0,0
1251-KRREG,Male,67,26,1742,1,0,0,0,0,0,0,0,1
0621-JFHOL,Male,3,114,342,1,0,0,1,0,0,1,0,1
9903-LYSAB,Male,5,23,115,1,1,0,0,0,1,0,1,1
0094-OIFMO,Female,57,120,6840,0,1,0,1,0,1,0,1,1
9227-UAQFT,Male,47,27,1269,1,1,0,1,0,0,1,0,1
7301-ABVAD,Female,27,69,1863,0,1,0,1,0,1,0,1,0
6614-FHDBO,Female,60,102,6120,0,1,1,1,0,0,0,1,0
7576-ASEJU,Female,72,96,6912,1,0,0,0,1,0,1,0,0
9058-HRZSV,Male,58,50,2900,0,0,0,1,0,1,0,1,0
4522-AKYLR,Female,54,43,2322,0,1,1,0,0,1,0,0,0
0221-WMXNQ,Female,39,119,4641,0,0,1,0,1,0,0,1,1
0303-UNCIP,Male,6,37,222,0,1,0,1,0,0,1,1,0
9947-OTFQU,Male,59,116,6844,1,0,0,0,0,0,1,1,0
0322-YINQP,Female,16,22,352,0,0,0,0,1,1,0,1,0
0959-WHOKV,Female,64,66,4224,1,1,0,1,0,1,0,0,1
4075-JFPGR,Male,36,111,3996,1,1,1,0,1,1,0,1,0
4629-NRXKX,Female,26,116,3016,0,1,1,1,0,1,0,0,1
9514-JDSKI,Male,33,36,1188,0,1,1,1,0,0,0,0,0
3282-ZISZV,Male,47,66,3102,1,0,0,0,1,1,0,1,0
3675-YDUPJ,Female,52,47,2444,0,0,0,1,0,1,0,0,0
4111-BNXIF,Female,31,50,1550,1,0,0,0,0,1,0,0,1
7017-VFHAY,Female,62,55,3410,1,1,0,1,0,0,0,0,1
6655-LHBYW,Male,58,56,3248,0,1,0,1,0,0,0,1,1
4959-JOSRX,Female,14,88,1232,0,0,0,1,0,1,0,0,0
5046-NUHWD,Male,23,70,1610,1,0,1,0,1,0,0,1,1
7273-TEFQD,Male,29,83,2407,1,0,1,0,0,0,1,0,1
3606-TWKGI,Female,41,107,4387,1,1,1,0,0,1,0,1,1
7529-ZDFXI,Male,58,114,6612,1,0,1,0,1,1,0,1,0
7605-BDWDC,Male,52,117,6084,0,0,1,1,0,0,0,1,1
1950-KSVVJ,Female,43,54,2322,0,0,1,0,0,1,0,0,1
0123-CRBRT,Male,39,50,1950,0,1,0,0,0,0,0,1,0
6292-TOSSS,Male,7,73,511,0,1,1,0,0,1,0,1,0
3197-ARFOY,Female,63,45,2835,0,1,1,1,0,0,1,1,0
6323-AYBRX,Male,11,74,814,1,0,0,0,0,1,0,1,0
7014-ZZXAW,Male,33,88,2904,0,1,1,0,0,1,0,1,1
4385-GZQXV,Female,19,107,2033,0,1,0,0,1,1,0,0,0
7633-MVPUY,Male,11,26,286,1,0,0,1,0,1,0,1,1
6366-ZGQGL,Male,23,49,1127,1,0,0,1,0,0,0,0,0
4716-HHKQH,Male,5,73,365,0,1,1,0,0,0,0,1,0
5940-AHUHD,Female,52,53,2756,1,0,1,0,1,0,0,1,1
6432-TWQLB,Male,48,117,5616,1,0,0,0,0,0,1,1,0
4484-GLZOU,Male,16,53,848,1,0,1,0,0,1,0,0,1
3179-GBRWV,Male,8,66,528,0,1,0,0,1,0,1,0,1
8645-KWHJO,Male,42,80,3360,0,0,1,0,0,1,0,0,0
4130-MZLCC,Male,42,103,4326,0,0,1,1,0,1,0,1,0
0314-TKOSI,Female,1,22,22,1,0,1,1,0,1,0,0,1
8229-MYEJZ,Female,30,41,1230,1,0,0,1,0,0,0,1,0
2080-SRCDE,Male,55,84,4620,1,1,0,0,1,1,0,1,0
9577-WJVCQ,Male,72,61,4392,0,0,0,0,0,0,0,1,0
9512-UIBFX,Male,51,52,2652,0,0,0,0,1,1,0,0,0
6202-DYYFX,Male,16,84,1344,1,1,1,1,0,0,0,1,1
3808-HFKDE,Female,52,26,1352,0,1,1,0,0,0,0,0,1
5583-SXDAG,Female,58,112,6496,1,0,1,1,0,0,1,1,0
3488-PGMQJ,Male,20,44,880,1,0,1,1,0,1,0,1,1
3580-REOAC,Female,31,58,1798,0,0,0,0,1,0,1,0,1
7534-BFESC,Male,59,51,3009,1,1,1,0,0,1,0,0,0
3727-OWVYD,Female,44,32,1408,0,1,1,1,0,1,0,0,0
2294-SALNE,Female,57,100,5700,0,0,1,1,0,1,0,1,1
4847-TAJYI,Male,30,62,1860,0,1,0,1,0,0,1,0,0
1563-IWQEX,Male,39,68,2652,1,0,0,0,0,0,1,0,0
8203-XJZRC,Female,55,84,4620,0,1,0,1,0,0,0,1,0
6556-DBKZF,Male,39,113,4407,1,1,1,0,1,0,1,0,0
6851-WEFYX,Female,9,39,351,1,0,0,0,1,0,0,0,1
2985-JUUBZ,Female,64,61,3904,1,0,0,1,0,0,0,1,1
6390-DSAZX,Male,66,96,6336,0,1,0,0,0,1,0,0,1
0895-LMRSF,Female,33,91,3003,1,0,1,0,1,0,1,1,1
8098-LLAZX,Female,71,64,4544,1,1,0,0,1,1,0,1,1
8266-VBFQL,Male,56,100,5600,0,1,0,0,0,1,0,0,0
8181-YHCMF,Female,47,117,5499,0,1,1,1,0,0,1,0,1
2240-HSJQD,Male,46,40,1840,1,0,0,0,1,1,0,0,1
1248-DYXUB,Female,45,54,2430,1,0,1,0,0,1,0,1,0
0265-EDXBD,Male,33,55,1815,1,0,0,0,1,0,0,0,0
4115-BNPJY,Female,2,29,58,1,0,0,1,0,0,0,0,1
3167-SNQPL,Male,49,94,4606,0,1,1,1,0,1,0,0,1
4091-TVOCN,Female,53,86,4558,1,1,1,0,1,0,0,0,1
1098-TDVUQ,Female,61,57,3477,0,1,1,1,0,0,1,0,0
7277-OZCGZ,Female,16,102,1632,1,0,0,0,1,1,0,1,0
1557-EMYVT,Female,47,75,3525,0,1,0,1,0,0,0,0,0
2799-ARNLO,Female,11,38,418,1,0,0,1,0,1,0,1,1
7563-BIUPC,Female,72,56,4032,0,0,0,1,0,1,0,1,0
5027-YOCXN,Male,11,93,1023,1,0,1,1,0,1,0,0,0
3973-SKMLN,Male,7,103,721,0,1,1,0,1,0,0,0,0
2321-OMBXY,Male,14,108,1512,0,1,1,1,0,1,0,1,1
2840-XANRC,Male,61,53,3233,1,0,0,1,0,1,0,1,1
6745-JEFZB,Male,42,31,1302,0,0,1,1,0,1,0,0,0
5020-ZSTTY,Male,37,54,1998,0,1,0,0,1,0,0,0,0
9880-TDQAC,Female,35,39,1365,0,0,0,0,0,1,0,0,1
8705-WZCYL,Male,4,45,180,0,1,1,0,1,1,0,1,1
7102-JJVTX,Female,9,71,639,1,1,1,0,0,0,1,1,0
8626-PTQGE,Female,2,22,44,0,0,0,1,0,0,0,1,0
4983-CLMLV,Male,61,120,7320,0,1,1,0,0,1,0,0,0
5701-YVSVF,Female,30,39,1170,0,0,0,0,0,0,0,0,1
5804-LEPIM,Female,52,56,2912,0,1,0,0,0,0,0,0,1
5697-GOMBF,Male,69,47,3243,1,0,1,0,1,0,1,0,1
2739-CACDQ,Female,20,118,2360,0,1,0,0,1,0,0,0,0
9385-EHGDO,Male,40,41,1640,1,1,1,0,0,0,1,0,1
9498-FIMXL,Female,23,77,1771,1,1,1,1,0,0,0,0,0
2379-GYFLQ,Female,27,91,2457,0,1,1,1,0,1,0,0,1
0122-OAHPZ,Male,55,23,1265,1,1,1,1,0,0,0,1,0
2868-SNELZ,Male,11,42,462,1,0,1,1,0,1,0,0,0
4322-RCYMT,Female,25,111,2775,1,0,0,0,1,0,0,0,1
6680-NENYN,Female,45,23,1035,1,1,0,0,1,0,1,1,0
2088-IEBAU,Male,33,98,3234,1,1,0,0,1,1,0,0,1
7982-VCELR,Female,2,64,128,0,0,1,0,0,1,0,1,1
1343-EHPYB,Female,24,70,1680,0,1,1,1,0,0,1,0,1
6035-BXTTY,Male,8,54,432,1,1,1,1,0,0,0,1,0
6885-PKOAM,Female,3,48,144,1,0,0,0,1,1,0,1,1
7520-HQWJU,Male,25,115,2875,0,1,0,0,0,0,1,1,0
9639-BUJXT,Male,48,97,4656,0,1,0,1,0,0,0,0,0
5924-SNGKP,Male,46,55,2530,0,0,1,0,0,0,0,0,0
0021-IKXGC,Female,16,49,784,0,0,1,1,0,0,1,1,1
2034-GDRCN,Female,71,40,2840,0,0,0,1,0,1,0,1,0
8966-SNIZF,Male,34,76,2584,0,1,0,1,0,0,1,1,1
6243-OZGFH,Male,70,119,8330,0,1,1,0,0,1,0,1,1
4654-DLAMQ,Female,48,25,1200,1,0,0,1,0,1,0,0,0
0513-RBGPE,Female,39,61,2379,0,1,1,0,0,1,0,0,1
5160-UXJED,Male,42,42,1764,0,0,0,1,0,1,0,1,0
4115-NZRKS,Female,54,89,4806,0,1,1,1,0,0,0,0,1
0219-YTZUE,Male,22,61,1342,0,0,0,0,0,1,0,0,0
0623-IIHUG,Male,42,60,2520,0,1,0,0,1,1,0,1,0
4572-DVCGN,Male,54,36,1944,1,1,0,0,1,1,0,1,1
3351-NGXYI,Male,12,22,264,1,0,1,0,0,1,0,1,0
8984-EYLLL,Male,47,33,1551,1,1,1,0,1,0,0,1,1
9057-MSWCO,Female,17,112,1904,1,0,0,0,0,1,0,0,1
9833-TGFHX,Female,45,63,2835,1,0,1,0,0,0,0,1,1
9294-TDIPC,Male,38,76,2888,0,1,1,0,1,0,0,1,0
5229-DTFYB,Male,28,50,1400,1,0,0,0,1,0,0,1,0
0104-PPXDV,Female,58,79,4582,1,1,0,1,0,0,1,1,1
5176-LMJXE,Male,48,102,4896,1,0,1,0,0,0,0,0,0
3583-KRKMD,Female,22,95,2090,1,0,1,0,0,1,0,1,1
1010-DIAUQ,Male,19,47,893,0,1,0,0,1,1,0,1,0
9069-LGEUL,Male,15,118,1770,0,1,0,1,0,1,0,1,1
7302-ZHMHP,Female,50,99,4950,1,1,1,0,0,0,1,1,0
9571-EDEBV,Female,17,37,629,0,1,0,1,0,1,0,0,1
3520-FJGCV,Male,10,47,470,1,1,0,0,1,1,0,0,0
6563-VRERX,Female,64,48,3072,1,1,0,0,1,0,0,0,0
0259-GBZSH,Male,40,80,3200,1,0,1,1,0,1,0,1,1
